AirIn,Air.T,Air.P,WaterIn,Water.T,Water.Density,Mixture.zone.P,riser.outlet.P,P.topsep,FR.topsep.gas,FR.topsep.liquid,P_3phase,Air.Valve,Water.level,Water.coalescer,Water.level.valve,water.tank.level,Fault
148.3625031,15.80029011,1.692929983,0.499451399,25.17831993,995.8552856,1.448184967,1.148933053,1.019688964,7.484807014,1.369874954,0.996448576,27.28083038,61.96688843,98.65151215,7.968738079,1.441419959,0.0
149.9217987,15.77422047,1.716801047,0.495087087,25.07159996,995.5991821,1.510813951,1.138085008,1.025455952,5.781591892,1.31942904,1.003159046,27.38468933,61.99787903,98.64689636,8.057647705,1.441980004,0.0
148.8775024,15.76766014,1.705765009,0.497178286,24.91449928,995.5349121,1.473690033,1.20627296,1.02552104,7.693647861,0.786900282,1.003932953,27.43265915,61.80237961,98.69287872,7.876005173,1.443572044,0.0
149.3399963,15.77670002,1.705453038,0.49550271,25.1696701,995.6235962,1.480455995,1.175874949,1.023329973,6.652192116,1.020589948,1.000090957,27.37288094,62.0155983,98.71153259,8.055239677,1.44353199,0.0
148.3529968,15.8429203,1.684142947,0.497241914,25.31561089,996.2739258,1.363872051,1.120798945,1.021216989,8.381959915,0.912932217,0.998942077,27.35847092,61.76184082,98.7019577,7.876262188,1.442515969,0.0
151.5812073,17.13139915,1.863692999,0.4183155,23.3277607,996.8530273,1.593997955,1.359817028,1.098037004,9.434055328,1.466305017,1.07377696,28.90492058,62.22676086,98.69756317,2.950956106,1.441071987,0.0
119.4132996,15.69231033,1.287197948,0.099436,23.72076988,997.6945801,1.219290972,1.01327002,1.024386048,0.000126584,0.067607649,1.003805041,25.19688988,61.8534584,98.62287903,1.665073037,1.444883943,0.0
101.9702988,17.11271095,6.081346035,0.100343399,23.37528992,997.8563843,1.167678952,0.962963581,0.98473382,0.000411975,0.0,0.962006629,22.99844933,62.00265121,98.6934433,2.68571806,1.447904944,0.0
148.429306,15.74868965,1.708870053,0.496123999,24.94592094,995.3485718,1.425708055,1.102560043,1.018911004,7.028842926,0.554422379,0.995598614,27.35707092,62.03305054,98.69963837,8.289531708,1.44125998,0.0
149.9980927,15.81795025,1.697540998,0.497804314,25.2577095,996.0286865,1.37747395,1.14189899,1.030068994,7.391357899,0.569901526,1.006109953,27.45859909,62.1218605,98.64784241,7.937351227,1.441423059,0.0
122.3459015,16.2800293,1.870010972,0.100195102,23.46607971,997.8300171,1.203729033,1.012436032,1.020460963,0.000174308,0.052543409,0.997601211,25.0627594,61.83119965,98.72586823,2.673221111,1.445564985,0.0
116.4521027,15.83386993,1.333613038,0.099917553,23.34388924,997.7805176,1.230553985,1.012197971,1.017846942,0.000877499,0.079738103,0.996093929,24.88015938,62.10195923,98.67989349,3.36836791,1.445760012,0.0
148.0287018,15.95038033,1.712890029,0.496753991,25.26012993,996.1309814,1.459323049,1.125924945,1.021042943,5.901092052,0.531193614,0.995598614,27.35199928,62.11471176,98.68723297,8.415008545,1.441897988,0.0
148.9645996,15.84010029,1.700178027,0.497183412,25.29154968,996.2460938,1.418586016,1.12974,1.027114987,7.193426132,0.892730296,1.005764008,27.51194954,61.92753983,98.64813995,7.971264839,1.441094995,0.0
119.5133972,15.68181992,1.278236985,0.099400327,23.59737968,997.6882935,1.211853027,1.005522013,1.019368052,0.000197649,0.04298069,0.998461783,25.10486031,62.19974899,98.69940186,3.296422958,1.443665981,0.0
119.7518005,16.28549004,1.881265998,0.1002037,23.40670013,997.8314819,1.227740049,1.020303965,1.026288986,9.72e-05,0.104149997,1.002040029,25.12480927,61.76184082,98.71684265,1.883108974,1.446210027,0.0
118.035202,15.88292027,1.387820005,0.099990383,23.37080956,997.7935181,1.203994989,1.021496058,1.021371007,0.000270934,0.067065857,1.000491023,25.15234947,61.96537018,98.63349152,2.220319033,1.444249034,0.0
83.13020325,17.43481064,6.983943939,0.507194877,25.35440063,996.3168945,1.380570054,1.109236002,0.954411626,0.098105744,0.429536402,0.93287158,24.74761963,61.99073029,98.6219101,8.500525475,1.44254005,0.0
148.1526947,18.27844048,1.928356051,0.496913403,25.39724922,996.3756104,1.714480042,1.312847972,1.134755969,16.33039093,0.842378914,1.111130953,27.05084038,62.92058182,98.68424225,9.099458694,1.439394951,0.0
148.6248016,15.85795975,1.713572025,0.497552812,25.35440063,996.4215088,1.45897603,1.150720954,1.017892957,6.46881485,0.688201189,0.996832013,27.31728935,61.99787903,98.62641907,8.019878387,1.440088987,0.0
120.4623032,15.78077984,1.30271101,0.099736974,23.54803085,997.7484131,1.229120016,1.023641944,1.016968966,0.000478905,0.095591083,0.99746412,24.88470078,61.83972931,98.6286087,2.282365084,1.444008946,0.0
151.0090027,16.18798065,1.912523985,0.498977602,25.35440063,996.2213745,1.454095006,1.19769001,1.019255042,8.009911537,0.489335895,0.995743811,27.35424995,62.21723175,98.62915039,8.416443825,1.440269947,0.0
148.0715942,15.77042007,1.702376962,0.497331709,25.13445091,995.5620117,1.486106038,1.095168948,1.020454049,5.875110149,0.978794813,0.997201085,27.37111092,62.05271912,98.61403656,8.330251694,1.442093968,0.0
118.6169968,15.6587801,1.288599014,0.099321932,23.62261963,997.6743164,1.226879001,1.016013026,1.016371965,0.000423039,0.048281901,0.996069312,24.96652985,62.25730896,98.71154785,3.152579069,1.445973039,0.0
118.9220963,16.34777069,1.863404036,0.100300997,23.32818031,997.848877,1.232061982,1.023641944,1.023481011,0.000492533,0.065091759,1.002930045,25.24675941,62.24869919,98.68495941,2.598432064,1.44670403,0.0
148.6439056,16.70072937,2.449743032,0.502077878,25.35198021,996.2926025,1.409898043,1.168841004,1.023206949,8.90258503,0.77733171,0.999776006,27.59579086,62.00979996,98.66407776,7.917238235,1.442767024,0.0
120.9821014,15.73075962,1.307158947,0.099566787,23.55022049,997.7180176,1.241798997,1.031270981,1.02592504,8.05e-05,0.09872818,1.004408956,25.02788925,61.90346909,98.61134338,3.350934982,1.446045995,0.0
149.8692932,15.90235043,1.748950958,0.497274607,25.31624985,996.1121216,1.483360052,1.152151942,1.025318027,7.803202152,0.790149987,1.004153013,27.4015007,61.9835701,98.62317657,7.916509151,1.44086802,0.0
99.51457214,18.24393082,6.827999115,0.100509502,23.37529945,997.8859863,1.221382976,1.012992978,1.023460984,9.61e-05,0.047090199,1.001533985,24.21360016,61.75608063,98.69509888,1.678624034,1.442232966,0.0
119.427597,15.62242985,1.288432002,0.099123888,23.78922081,997.6389771,1.22239399,1.018635988,1.023460984,0.026819861,0.056837391,0.999493599,25.11027908,61.98278046,98.62384033,3.413702965,1.447064996,0.0
100.5398026,18.30343056,6.908140182,0.242185697,23.37080002,997.8934937,1.221032977,1.015774012,1.024906993,1.7e-05,0.068340801,1.004354,24.21875,62.18964005,98.70639801,3.398936987,1.443071008,0.0
121.2967987,15.87228012,1.412062049,0.099975519,23.34388924,997.7907715,1.211294055,1.016013026,1.023460984,0.00053526,0.096818723,1.002895951,25.00515938,61.84968948,98.68347931,2.850025892,1.442456007,0.0
149.0921021,16.64768028,2.436980009,0.500985622,25.47871971,996.2675171,1.399211049,1.137369037,1.025342941,10.26634979,0.429647088,1.001716971,27.6200695,62.03126144,98.70774841,7.825790882,1.442569017,0.0
148.1622009,16.09929085,1.752534986,0.49711749,25.26012993,996.1898804,1.433426976,1.139515042,1.025576949,7.097328186,0.415694088,1.001170993,27.49065018,62.25220108,98.70928192,8.407574654,1.442458034,0.0
148.8917999,15.85692978,1.705098033,0.497531414,25.1375103,996.411377,1.441512942,1.114958048,1.02067399,7.648086071,0.990765572,0.999247372,27.36967087,62.02172089,98.62448883,8.04613018,1.441915989,0.0
118.5167999,15.67111969,1.279891968,0.099363923,23.59514046,997.6818237,1.215528011,1.009575009,1.018718958,0.159309596,0.070200138,0.996683419,24.95285034,61.9358902,98.67075348,1.622606039,1.443889022,0.0
118.9841003,15.76373959,1.290020943,0.099679008,23.57000923,997.7379761,1.213878989,1.010529041,1.017933011,5.32e-05,0.066583231,0.997505784,24.95849037,62.11526108,98.72891998,2.320611,1.44364202,0.0
148.9394989,16.64818954,2.432163954,0.500995874,25.32298088,996.2678223,1.455842972,1.150720954,1.024417043,9.183490753,0.437458009,1.001260042,27.61609077,62.15047073,98.71311188,8.018896103,1.442636967,0.0
151.9340973,15.96397018,1.713492036,0.496606588,25.29154968,996.1364136,1.371894956,1.168602943,1.030846953,9.058713913,0.978907585,1.006332994,27.47934914,62.12424088,98.66184998,7.811995983,1.442286968,0.0
107.0678024,17.55995941,6.669347763,0.100360498,23.3248291,997.8594971,1.23785603,1.012912989,1.013273001,0.000379469,0.081982672,0.992812276,22.24334908,61.55321884,98.67356873,0.874100387,1.445842028,0.0
100.3300018,18.3039608,6.904533863,0.245480806,23.3696804,997.8936157,1.224869967,1.020542979,1.024870038,1.63e-05,0.05578889,1.004327059,24.22640038,62.1937294,98.70659637,3.421794891,1.443112969,0.0
